"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"CATACLR3"	"Neotoma"	10326	15696	"Catahoula Lake (core CLR3)"	-92.13152	31.50844	"Eastern North America"	0.633	0.646	0.367	0.381	0.037	0.008	0.878	0.872	0.532	0.496	0.023	0.002	0.77	0.775	0.559	0.562	0.449	0.445	0.57	0.183	0.196	0.997	0.995	0.991	0.993	0.621	0.611	0.629	0.637	0.726	0.721	0.943	0.94	0.777	0.779	0.97	0.977	0.802	0.789	0.71	0.721	0.882	0.9	0.721	0.695	0.957	0.958	0.887	0.892	0.806	0.808
"CLEARBOG"	"Neotoma"	10333	15700	"Clearwater Bog"	-101.2588	54.0236	"Eastern North America"	0.438	0.437	0.421	0.4	0.003	0.007	0.241	0.237	0.158	0.169	0.002	0.001	0.431	0.461	0.419	0.457	0.238	0.256	0.391	0.505	0.166	0.373	0.398	0.436	0.431	0.605	0.619	0.667	0.694	0.618	0.607	0.507	0.469	0.222	0.211	0.243	0.237	0.649	0.631	0.358	0.359	0.109	0.102	0.04	0.038	0.416	0.41	0.312	0.304	0.112	0.116
"COLPNDNS"	"Neotoma"	10334	15702	"Collins Pond Site (PL-86-56)"	-61.3427	45.42715	"Eastern North America"	NA	0.043	NA	0.157	NA	NA	NA	0.121	NA	0.406	NA	NA	NA	0.071	NA	0.116	NA	0.076	NA	NA	NA	NA	0.051	NA	0.137	NA	0.182	NA	0.78	NA	0.03	NA	0.184	NA	0.286	NA	0.541	NA	0.095	NA	0.21	NA	0.227	NA	0.033	NA	0.027	NA	0.084	NA	0.007
"DONARD"	"Neotoma"	10343	15719	"Donard Lake"	-61.7878	66.662	"Eastern North America"	0.024	0.125	0.018	0.095	0.002	0.045	0.133	0.05	0.007	0.021	0.108	0.928	0.512	0.109	0.049	0.126	0.019	0.001	0.05	0.894	0.584	0.013	0.095	0.012	0.012	0.142	0.007	0.001	0.006	0.007	0.008	0.01	0.004	0.026	0.084	0.03	0.029	0.013	0.117	0.008	0.038	0.022	0.017	0.005	0.006	0.148	0.042	0.004	0.067	0.004	0.011
"FIRELAKE"	"Neotoma"	10347	15730	"Fire Lake"	-67.35709	52.331985	"Eastern North America"	0.498	0.527	0.55	0.561	0.992	0.711	0.148	0.153	0.078	0.076	0.337	0.029	0.95	0.957	0.977	0.967	0.268	0.3	0.008	0.003	0.002	0.16	0.162	0.099	0.112	0.964	0.973	0.478	0.476	0.503	0.488	0.15	0.141	0.956	0.945	0.232	0.232	0.261	0.258	0.363	0.363	0.031	0.035	0.056	0.038	0.452	0.48	0.819	0.838	0.797	0.788
"GOOSEBAY"	"Neotoma"	10348	15732	"Goose Bay Marsh"	-75.87042	44.351135	"Eastern North America"	0.626	0.637	0.411	0.438	0.826	0.585	0.405	0.425	0.557	0.582	0.84	0.519	0.076	0.087	0.113	0.114	0.317	0.307	0.302	0.255	0.213	0.57	0.556	0.286	0.271	0.026	0.018	0.008	0.008	0.29	0.298	0.762	0.752	0.033	0.045	0.356	0.372	0.542	0.518	0.417	0.384	0.284	0.274	0.545	0.54	0.062	0.086	0.118	0.154	0.382	0.33
"HEMLOCK"	"Neotoma"	10352	15740	"Hemlock Lake"	-91.19829	46.3073	"Eastern North America"	0.298	0.287	0.092	0.091	0.099	0.125	0.002	0.001	0.001	0.001	0.001	0.001	0.198	0.192	0.048	0.051	0.069	0.068	0.117	0.089	0.014	0.02	0.011	0.017	0.018	0.008	0.007	0.003	0.001	0.003	0.003	0.004	0.002	0.025	0.018	0.003	0.004	0.113	0.122	0.228	0.22	0.001	0.001	0.001	0.001	0.059	0.06	0.13	0.11	0.017	0.01
"LAKEJAKE"	"Neotoma"	10355	15746	"Lake Jake"	-65.1513	63.66675	"Eastern North America"	0.009	0.004	0.002	0.005	0.006	0.742	0.033	0.036	0.001	0.002	0.002	0.292	0.486	0.451	0.12	0.124	0.004	0.005	0.002	0.411	0.306	0.001	0.001	0.005	0.006	0.01	0.007	0.182	0.185	0.002	0.003	0.017	0.023	0.007	0.005	0.138	0.123	0.002	0.002	0.008	0.016	0.004	0.001	0.032	0.026	0.008	0.012	0.181	0.206	0.123	0.124
"SHELBYAL"	"Neotoma"	10357	15750	"Lake Shelby"	-87.66485	30.260065	"Eastern North America"	0.766	0.754	0.388	0.37	0.554	0.662	0.789	0.77	0.442	0.445	0.233	0.346	0.854	0.858	0.329	0.373	0.472	0.449	0.394	0.487	0.465	0.963	0.966	0.605	0.633	0.622	0.634	0.319	0.366	0.784	0.798	0.511	0.549	0.245	0.233	0.228	0.244	0.868	0.881	0.906	0.918	0.38	0.404	0.176	0.162	0.768	0.792	0.806	0.812	0.21	0.182
"LANTZPOL"	"Neotoma"	10225	15752	"Lantz Site"	-63.48817	44.979797	"Eastern North America"	0.433	0.331	0.977	0.62	0.575	0.871	0.34	0.434	0.629	0.624	0.737	0.646	0.005	0.464	0.791	0.777	0.131	0.671	0.254	0.332	0.999	0.17	0.326	0.797	0.551	0.01	0.291	0.951	0.547	0.306	0.367	0.68	0.675	0.236	0.498	0.437	0.81	0.637	0.385	0.378	0.806	0.519	0.3	0.99	0.408	0.345	0.318	0.992	0.666	0.035	0.375
"LILYMASS"	"Neotoma"	10362	15764	"Lily Pond"	-72.34693	42.417875	"Eastern North America"	0.827	0.829	0.619	0.653	0.488	0.604	0.98	0.97	0.568	0.567	0.298	0.317	0.654	0.648	0.45	0.487	0.385	0.372	0.746	0.86	0.791	0.473	0.472	0.518	0.452	0.452	0.473	0.392	0.401	0.899	0.888	0.921	0.928	0.661	0.681	0.743	0.756	0.526	0.509	0.742	0.717	0.648	0.627	0.887	0.869	0.723	0.703	0.948	0.941	0.967	0.976
"MS-78-15"	"Neotoma"	10376	15793	"Roulston Lake (MS-78-15)"	-67.4	46.89451	"Eastern North America"	0.032	0.005	0.068	0.061	0.002	0.152	0.008	0.007	0.343	0.334	0.009	0.143	0.022	0.013	0.127	0.08	0.385	0.386	0.064	0.566	0.398	0.003	0.003	0.016	0.02	0.169	0.082	0.186	0.216	0.002	0.005	0.045	0.055	0.163	0.097	0.277	0.357	0.069	0.012	0.099	0.084	0.015	0.004	0.46	0.421	0.011	0.004	0.094	0.041	0.372	0.292
"MS-89-16"	"Neotoma"	10378	15796	"Blomidon Section MS-89-16"	-64.3751	45.2235	"Eastern North America"	NA	0.697	NA	0.591	NA	NA	NA	0.89	NA	0.883	NA	NA	NA	0.187	NA	0.304	NA	0.274	NA	NA	NA	NA	0.622	NA	0.984	NA	0.438	NA	0.95	NA	0.15	NA	0.751	NA	0.112	NA	0.656	NA	0.292	NA	0.674	NA	0.495	NA	0.777	NA	0.001	NA	0.003	NA	0.002
"PORCUPIN"	"Neotoma"	10388	15819	"Porcupine Mountain"	-101.62995	52.50635	"Eastern North America"	0.867	0.85	0.867	0.836	0.042	0.05	0.609	0.614	0.335	0.35	0.094	0.262	0.381	0.388	0.419	0.449	0.192	0.198	0.005	0.009	0.012	0.507	0.513	0.361	0.368	0.192	0.178	0.126	0.093	0.515	0.483	0.632	0.68	0.43	0.466	0.637	0.624	0.177	0.168	0.144	0.139	0.451	0.428	0.324	0.333	0.626	0.619	0.242	0.226	0.368	0.366
"PASCAGOU"	"Neotoma"	10392	15825	"Pascagoula Marsh"	-88.5855	30.391	"Eastern North America"	0.398	0.425	0.355	0.35	0.523	0.127	0.501	0.466	0.747	0.751	0.406	0.03	0.255	0.254	0.26	0.274	0.548	0.519	0.681	0.235	0.059	0.597	0.585	0.949	0.953	0.224	0.236	0.632	0.654	0.672	0.664	0.579	0.564	0.429	0.433	0.421	0.392	0.399	0.368	0.808	0.814	0.478	0.441	0.744	0.746	0.423	0.391	0.858	0.846	0.669	0.701
"ROBINSON"	"Neotoma"	10394	15829	"Robinson Lake"	-64.261165	63.397585	"Eastern North America"	0.191	0.155	0.091	0.069	0.06	0.164	0.525	0.536	0.067	0.057	0.193	0.903	0.76	0.779	0.062	0.068	0.037	0.049	0.193	0.101	0.23	0.115	0.138	0.196	0.206	0.436	0.452	0.35	0.364	0.108	0.087	0.164	0.198	0.373	0.367	0.128	0.128	0.053	0.053	0.225	0.229	0.21	0.208	0.434	0.452	0.313	0.31	0.414	0.413	0.537	0.566
"SANDYRUN"	"Neotoma"	10395	15831	"Sandy Run Creek"	-83.0795	32.572	"Eastern North America"	0.492	0.322	0.595	0.578	0.229	0.121	0.452	0.351	0.327	0.209	0.214	0.058	0.35	0.145	0.554	0.344	0.408	0.131	0.511	0.161	0.109	0.637	0.499	0.446	0.302	0.517	0.184	0.463	0.162	0.578	0.383	0.4	0.274	0.521	0.205	0.503	0.258	0.488	0.292	0.638	0.834	0.477	0.32	0.268	0.264	0.393	0.199	0.593	0.641	0.349	0.197
"SWANTX"	"Neotoma"	10405	15864	"Swan Lake"	-97.171305	28.04246	"Eastern North America"	0.63	0.645	0.235	0.222	0.231	0.188	0.127	0.114	0.052	0.053	0.237	0.221	0.185	0.172	0.162	0.183	0.251	0.231	0.084	0.079	0.072	0.837	0.835	0.8	0.837	0.012	0.009	0.025	0.019	0.402	0.392	0.008	0.003	0.011	0.011	0.005	0.005	0.803	0.788	0.298	0.309	0.539	0.52	0.782	0.799	0.042	0.043	0.044	0.041	0.073	0.082
"TANBOG07"	"Neotoma"	2536	15866	"Tannersville Bog"	-75.263845	41.038875	"Eastern North America"	0.073	0.076	0.145	0.153	0.002	0.001	0.034	0.039	0.109	0.118	0.001	0.001	0.368	0.325	0.435	0.394	0.453	0.496	0.08	0.001	0.009	0.063	0.076	0.22	0.188	0.111	0.124	0.245	0.244	0.002	0.001	0.03	0.034	0.104	0.114	0.283	0.274	0.049	0.048	0.116	0.093	0.007	0.002	0.051	0.053	0.265	0.287	0.288	0.271	0.332	0.352
"WARNERWI"	"Neotoma"	10412	15882	"Warner Lake"	-92.03985	46.11935	"Eastern North America"	0.023	0.024	0.035	0.032	0.224	0.201	0.065	0.065	0.055	0.065	0.495	0.341	0.742	0.774	0.716	0.723	0.792	0.78	0.893	0.623	0.522	0.035	0.023	0.03	0.039	0.261	0.236	0.291	0.317	0.063	0.071	0.05	0.037	0.695	0.682	0.48	0.459	0.034	0.04	0.038	0.029	0.202	0.199	0.246	0.23	0.897	0.907	0.865	0.85	0.925	0.941
"CRYSTALIL"	"Neotoma"	10413	15886	"Crystal Lake"	-88.357005	42.234015	"Eastern North America"	0.001	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.648	0.321	0.052	0.042	0.039	0.031	0.621	0.057	0.284	0.004	0.017	0.001	0.014	0.667	0.46	0.065	0.058	0.001	0.001	0.001	0.001	0.465	0.801	0.047	0.02	0.004	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.364	0.564	0.014	0.011	0.017	0.009
"WL02-1"	"Neotoma"	10415	15892	"White Lake"	-74.91347	40.99967	"Eastern North America"	0.007	0.034	0.013	0.03	0.059	0.075	0.004	0.02	0.011	0.023	0.079	0.063	0.838	0.904	0.799	0.732	0.751	0.646	0.943	0.807	0.701	0.029	0.17	0.02	0.188	0.729	0.946	0.156	0.761	0.001	0.012	0.001	0.006	0.59	0.712	0.074	0.556	0.004	0.029	0.002	0.03	0.001	0.007	0.001	0.007	0.844	0.898	0.346	0.543	0.332	0.529
"DIVERS"	"Neotoma"	10422	15904	"Divers Lake"	-78.399245	43.04099	"Eastern North America"	0.929	0.114	0.645	0.099	0.489	0.447	0.752	0.042	0.623	0.129	0.442	0.446	0.159	0.008	0.089	0.096	0.133	0.109	0.106	0.138	0.151	0.555	0.242	0.492	0.181	0.008	0.001	0.044	0.005	0.092	0.001	0.681	0.021	0.017	0.001	0.32	0.074	0.903	0.11	0.685	0.044	0.56	0.014	0.67	0.071	0.078	0.003	0.058	0.025	0.097	0.084
"BALLSTON"	"Neotoma"	10424	15909	"Ballston Lake"	-73.85325	42.94975	"Eastern North America"	0.709	0.39	0.352	0.116	0.326	0.045	0.4	0.214	0.298	0.078	0.143	0.031	0.116	0.334	0.116	0.238	0.124	0.198	0.001	0.001	0.001	0.751	0.343	0.012	0.001	0.011	0.061	0.006	0.019	0.026	0.004	0.003	0.001	0.011	0.055	0.004	0.002	0.649	0.335	0.229	0.019	0.303	0.136	0.163	0.003	0.035	0.125	0.036	0.067	0.039	0.032
"CROOKEDN"	"Neotoma"	10429	15919	"Crooked Lake"	-89.29409	46.24525	"Eastern North America"	0.931	0.874	0.129	0.112	0.456	0.433	0.518	0.364	0.308	0.214	0.853	0.423	0.076	0.091	0.03	0.031	0.03	0.007	0.144	0.215	0.096	0.354	0.263	0.75	0.841	0.041	0.03	0.187	0.304	0.707	0.784	0.191	0.194	0.012	0.006	0.005	0.003	0.719	0.631	0.057	0.049	0.994	0.956	0.794	0.713	0.091	0.077	0.022	0.047	0.088	0.076
"JAYLAKE"	"Neotoma"	10430	15922	"Jay Lake"	-89.28155	46.23435	"Eastern North America"	0.788	0.756	0.044	0.054	0.183	0.402	0.73	0.716	0.039	0.043	0.474	0.303	0.087	0.111	0.091	0.097	0.07	0.081	0.003	0.005	0.005	0.63	0.617	0.012	0.01	0.005	0.003	0.008	0.005	0.34	0.355	0.008	0.01	0.003	0.001	0.001	0.001	0.611	0.624	0.001	0.001	0.457	0.459	0.002	0.004	0.019	0.02	0.024	0.038	0.021	0.018
"OPINES"	"Neotoma"	10431	15925	"Lake O' Pines"	-89.2553	46.140435	"Eastern North America"	0.608	0.378	0.546	0.442	0.231	0.382	0.212	0.011	0.148	0.01	0.09	0.364	0.922	0.335	0.857	0.444	0.678	0.665	0.174	0.231	0.457	0.169	0.439	0.196	0.389	0.073	0.381	0.116	0.313	0.34	0.342	0.281	0.309	0.112	0.329	0.125	0.332	0.2	0.65	0.139	0.614	0.197	0.01	0.173	0.014	0.287	0.428	0.228	0.446	0.212	0.294
"HISCOCKP"	"Neotoma"	5803	15929	"Hiscock Site"	-78	43	"Eastern North America"	0.76	0.539	0.454	0.578	0.011	0.003	0.729	0.731	0.361	0.71	0.014	0.051	0.622	0.959	0.399	0.968	0.282	0.897	0.389	0.244	0.524	0.149	0.934	0.085	0.84	0.396	0.827	0.352	0.862	0.055	0.892	0.06	0.059	0.927	0.469	0.68	0.477	0.588	0.145	0.914	0.183	0.1	0.325	0.555	0.256	0.463	0.916	0.808	0.373	0.95	0.485
"GREENPND"	"Neotoma"	10433	15931	"Green Pond"	-72.5108	42.56705	"Eastern North America"	0.823	0.825	0.714	0.73	0.225	0.108	0.865	0.889	0.698	0.674	0.002	0.05	0.753	0.77	0.685	0.682	0.592	0.598	0.203	0.094	0.603	0.143	0.127	0.146	0.147	0.664	0.633	0.458	0.465	0.151	0.167	0.155	0.149	0.388	0.383	0.361	0.357	0.571	0.578	0.366	0.359	0.579	0.548	0.625	0.651	0.704	0.697	0.447	0.432	0.789	0.779
"LILYWAR"	"Neotoma"	10434	15933	"Lily Warwick"	-72.337185	42.68839	"Eastern North America"	0.485	0.482	0.395	0.364	0.247	0.361	0.772	0.773	0.453	0.425	0.192	0.289	0.514	0.501	0.418	0.407	0.314	0.308	0.824	0.751	0.858	0.156	0.148	0.253	0.27	0.315	0.324	0.449	0.423	0.111	0.09	0.058	0.064	0.831	0.813	0.314	0.309	0.115	0.1	0.438	0.409	0.136	0.157	0.194	0.192	0.293	0.281	0.873	0.854	0.613	0.611
"LITTLEM"	"Neotoma"	10435	15935	"Little Mirror Lake"	-71.60848	42.524435	"Eastern North America"	0.432	0.519	0.498	0.488	0.144	0.171	0.542	0.571	0.511	0.497	0.03	0.252	0.898	0.916	0.844	0.868	0.68	0.705	0.493	0.392	0.916	0.054	0.045	0.057	0.047	0.862	0.839	0.366	0.378	0.013	0.009	0.007	0.013	0.56	0.608	0.322	0.332	0.393	0.373	0.571	0.567	0.125	0.118	0.201	0.22	0.128	0.101	0.115	0.126	0.212	0.184
"SRM-1"	"Neotoma"	10436	15939	"SRM-1"	-81.114444	25.352778	"Eastern North America"	0.3	0.295	0.17	0.177	0.227	0.27	0.094	0.079	0.055	0.068	0.162	0.34	0.129	0.161	0.333	0.342	0.649	0.6	0.029	0.145	0.175	0.993	0.994	0.788	0.807	0.184	0.194	0.441	0.404	0.352	0.349	0.267	0.26	0.189	0.2	0.615	0.608	0.799	0.81	0.317	0.328	0.078	0.064	0.121	0.11	0.113	0.097	0.109	0.099	0.088	0.074
"OTTER"	"Neotoma"	10437	15942	"Otter Pond"	-72.53319	42.65485	"Eastern North America"	0.9	0.889	0.818	0.815	0.537	0.455	0.88	0.861	0.881	0.876	0.544	0.492	0.675	0.681	0.641	0.652	0.676	0.716	0.633	0.611	0.551	0.83	0.845	0.652	0.674	0.593	0.6	0.511	0.535	0.155	0.176	0.303	0.34	0.339	0.382	0.669	0.697	0.749	0.721	0.81	0.803	0.502	0.536	0.726	0.761	0.523	0.523	0.547	0.539	0.693	0.694
"SILVERMA"	"Neotoma"	10438	15944	"Silver Lake"	-72.22854	42.600775	"Eastern North America"	0.449	0.453	0.683	0.664	0.159	0.229	0.973	0.979	0.772	0.747	0.039	0.122	0.258	0.235	0.368	0.336	0.213	0.226	0.293	0.263	0.676	0.082	0.09	0.135	0.129	0.297	0.301	0.562	0.565	0.236	0.24	0.19	0.208	0.695	0.67	0.317	0.308	0.249	0.249	0.262	0.263	0.22	0.198	0.275	0.242	0.626	0.645	0.704	0.739	0.76	0.743
"LXSITE4"	"Neotoma"	10439	15947	"Larix laricina Site 4"	-75.813472	57.719167	"Eastern North America"	0.617	0.579	0.574	0.549	0.111	0.39	0.195	0.194	0.825	0.826	0.172	0.499	0.062	0.051	0.132	0.143	0.231	0.242	0.232	0.913	0.726	0.829	0.807	0.916	0.906	0.787	0.803	0.906	0.892	0.795	0.802	0.8	0.816	0.819	0.839	0.856	0.846	0.664	0.659	0.434	0.452	0.046	0.033	0.835	0.856	0.024	0.031	0.056	0.046	0.693	0.705
"LXSITE5"	"Neotoma"	10440	15950	"Larix laricina Site 5"	-75.813472	57.719167	"Eastern North America"	0.28	0.275	0.377	0.397	0.01	0.09	0.244	0.287	0.825	0.823	0.059	0.017	0.187	0.172	0.219	0.206	0.695	0.69	0.308	0.682	0.203	0.052	0.056	0.062	0.043	0.912	0.898	0.811	0.804	0.727	0.715	0.753	0.756	0.742	0.756	0.803	0.788	0.343	0.348	0.486	0.508	0.171	0.17	0.568	0.556	0.077	0.089	0.135	0.116	0.476	0.47
"LXSITE10"	"Neotoma"	10441	15952	"Larix laricina Site 10"	-72.777555	57.854125	"Eastern North America"	0.214	0.236	0.222	0.245	0.675	0.719	0.188	0.188	0.348	0.356	0.063	0.136	0.398	0.396	0.24	0.215	0.609	0.597	0.048	0.061	0.02	0.488	0.466	0.491	0.466	0.825	0.856	0.755	0.775	0.272	0.286	0.082	0.077	0.703	0.7	0.123	0.104	0.358	0.392	0.47	0.461	0.317	0.321	0.323	0.311	0.444	0.439	0.461	0.443	0.306	0.329
"ITASCAMB"	"Neotoma"	10457	15989	"Itasca Bison Kill Site"	-95.2339	47.19285	"Eastern North America"	0.239	0.209	0.625	0.587	0.244	0.481	0.138	0.145	0.957	0.972	0.989	0.801	0.769	0.805	0.925	0.926	0.931	0.913	0.028	0.406	0.933	0.612	0.6	0.267	0.242	0.564	0.587	0.167	0.134	0.138	0.138	0.735	0.757	0.176	0.174	0.856	0.849	0.579	0.607	0.757	0.759	0.475	0.483	0.73	0.756	0.034	0.036	0.805	0.79	0.689	0.69
"PIGEON"	"Neotoma"	10461	16009	"Pigeon Marsh"	-85.40132	34.66359	"Eastern North America"	0.437	0.085	0.659	0.232	0.177	0.675	0.447	0.093	0.761	0.271	0.076	0.627	0.64	0.116	0.915	0.12	0.933	0.149	0.027	0.251	0.444	0.514	0.263	0.866	0.292	0.4	0.023	0.679	0.018	0.337	0.151	0.888	0.286	0.231	0.012	0.67	0.051	0.369	0.166	0.793	0.291	0.369	0.209	0.599	0.342	0.27	0.013	0.614	0.047	0.533	0.039
"MS-85-22"	"Neotoma"	10485	16079	"Brier Island Bog MS-85-22"	-66.367778	44.258194	"Eastern North America"	0.026	0.221	0.077	0.017	0.286	0.545	0.085	0.321	0.194	0.034	0.369	0.63	0.722	0.022	0.595	0.008	0.629	0.001	0.545	0.908	0.873	0.024	0.38	0.106	0.135	0.449	0.318	0.337	0.285	0.122	0.366	0.654	0.661	0.066	0.362	0.572	0.491	0.029	0.346	0.202	0.021	0.069	0.438	0.301	0.024	0.306	0.106	0.386	0.041	0.554	0.036
"MS-85-16"	"Neotoma"	10486	16081	"Chance Harbour Lake"	-62.610975	45.670215	"Eastern North America"	0.509	0.008	0.401	0.121	0.187	0.106	0.466	0.004	0.343	0.01	0.198	0.082	0.643	0.023	0.534	0.378	0.483	0.083	0.118	0.084	0.085	0.326	0.005	0.332	0.002	0.615	0.058	0.552	0.33	0.101	0.018	0.062	0.004	0.416	0.31	0.159	0.462	0.474	0.031	0.235	0.168	0.483	0.019	0.21	0.015	0.464	0.005	0.405	0.127	0.364	0.008
"LOSTMOOS"	"Neotoma"	10487	16083	"Lost Moose Core 128"	-94.267917	57.560833	"Eastern North America"	0.084	0.065	0.155	0.164	0.002	0.007	0.053	0.049	0.09	0.102	0.01	0.014	0.321	0.302	0.532	0.575	0.52	0.542	0.011	0.019	0.013	0.026	0.025	0.062	0.073	0.161	0.17	0.501	0.536	0.006	0.005	0.014	0.019	0.17	0.172	0.563	0.547	0.038	0.056	0.072	0.077	0.024	0.021	0.022	0.026	0.523	0.536	0.755	0.741	0.589	0.605
"MS7812X"	"Neotoma"	10488	16086	"Island Lake"	-66.18227	47.830255	"Eastern North America"	0.025	0.007	0.299	0.401	0.003	0.002	0.003	0.004	0.077	0.094	0.001	0.004	0.027	0.002	0.429	0.379	0.217	0.169	0.046	0.021	0.013	0.015	0.036	0.105	0.136	0.058	0.013	0.276	0.19	0.002	0.058	0.005	0.059	0.156	0.108	0.324	0.32	0.015	0.006	0.34	0.405	0.001	0.007	0.081	0.068	0.017	0.001	0.438	0.359	0.166	0.123
"PYELAKE"	"Neotoma"	10496	16103	"Pye Lake"	-62.09061	44.975933	"Eastern North America"	0.223	0.124	0.009	0.002	0.404	0.049	0.257	0.114	0.019	0.011	0.385	0.093	0.007	0.003	0.002	0.001	0.001	0.001	0.18	0.03	0.058	0.194	0.134	0.013	0.003	0.016	0.045	0.002	0.002	0.128	0.049	0.111	0.046	0.052	0.331	0.002	0.001	0.312	0.247	0.016	0.008	0.314	0.179	0.038	0.02	0.007	0.008	0.008	0.002	0.001	0.001
"SILCOX52"	"Neotoma"	10497	16105	"Silcox Core 52"	-94.185	57.205417	"Eastern North America"	0.832	0.826	0.683	0.7	0.119	0.076	0.697	0.673	0.493	0.449	0.291	0.14	0.443	0.434	0.289	0.287	0.317	0.29	0.151	0.082	0.119	0.717	0.729	0.645	0.646	0.622	0.63	0.7	0.717	0.148	0.156	0.219	0.209	0.688	0.705	0.941	0.941	0.361	0.333	0.819	0.805	0.282	0.312	0.578	0.557	0.419	0.433	0.886	0.879	0.798	0.794
"THIB127B"	"Neotoma"	10498	16107	"Thibaudeau"	-94.169444	57.087083	"Eastern North America"	0.369	0.362	0.396	0.394	0.062	0.003	0.401	0.403	0.422	0.457	0.012	0.027	0.588	0.602	0.415	0.421	0.465	0.452	0.015	0.012	0.046	0.297	0.321	0.342	0.343	0.088	0.104	0.237	0.278	0.044	0.046	0.044	0.036	0.31	0.295	0.411	0.423	0.073	0.084	0.081	0.082	0.132	0.133	0.188	0.213	0.328	0.309	0.22	0.23	0.47	0.45
