"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"modern training sites [#], full dataset"	"minimum modern T air (July) [°C], full dataset"	"maximum modern T air (July) [°C], full dataset"	"minimum modern T air (annual mean) [°C], full dataset"	"maximum modern T air (annual mean) [°C], full dataset"	"minimum modern Precip annual total [mm/a], full dataset"	"maximum modern Precip annual total [mm/a], full dataset"	"WA-PLS component T air (July), full dataset"	"WA-PLS r2 observed vs. predicted T air (July), full dataset"	"WA-PLS RMSEP T air (July), full dataset"	"MAT r2 observed vs. predicted T air (July), full dataset"	"MAT RMSEP T air (July), full dataset"	"WA-PLS component T air (annual mean), full dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), full dataset"	"WA-PLS RMSEP T air (annual mean), full dataset"	"MAT r2 observed vs. predicted T air (annual mean), full dataset"	"MAT RMSEP T air (annual mean), full dataset"	"WA-PLS component Precip annual total, full dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, full dataset"	"WA-PLS RMSEP Precip annual total, full dataset"	"MAT r2 observed vs. predicted Precip annual total, full dataset"	"MAT RMSEP Precip annual total, full dataset"	"minimum modern T air (July) [°C], after tailoring"	"maximum modern T air (July) [°C], after tailoring"	"minimum modern T air (annual mean) [°C], after tailoring"	"maximum modern T air (annual mean) [°C], after tailoring"	"minimum modern Precip annual total [mm/a], after tailoring"	"maximum modern Precip annual total [mm/a], after tailoring"	"modern training sites [#], July temperature-tailored dataset"	"minimum modern T air (July) [°C], July temperature-tailored dataset"	"maximum modern T air (July) [°C], July temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], July temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], July temperature-tailored dataset"	"WA-PLS component T air (July), July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), July temperature-tailored dataset"	"WA-PLS RMSEP T air (July), July temperature-tailored dataset"	"WA-PLS component Precip annual total, July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, July temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, July temperature-tailored dataset"	"modern training sites [#], annual mean temperature-tailored dataset"	"minimum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"maximum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"WA-PLS component T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS component Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual mean temperature-tailored dataset"	"modern training sites [#], annual precipitation-tailored dataset"	"minimum modern T air (July) [°C], annual precipitation-tailored dataset"	"maximum modern T air (July) [°C], annual precipitation-tailored dataset"	"minimum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"maximum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"minimum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"maximum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"WA-PLS component T air (July), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (July), annual precipitation-tailored dataset"	"WA-PLS component T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS component Precip annual total, annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual precipitation-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual precipitation-tailored dataset"
"CAOTAN2002"	"Cao et al."	193	100193	"Caotanhu 2002"	86.023833	44.418333	"Asia"	2390	-6.5	33	-17.5	14.8	15	992	1	0.49	4.46	0.64	3.72	1	0.37	3.96	0.57	3.29	1	0.6	118.08	0.77	90.45	12.5	25	-0.7	8.5	-13	375	1228	12.6	24.9	27	992	2	0.3	2.59	1	0.65	101.36	1197	-0.7	8.5	27	828	1	0.35	2.08	1	0.65	112.31	1362	-6.5	33	-17.5	14.8	15	374	2	0.48	4.97	1	0.44	4.39	1	0.46	74.77
"CHAIWOCKF"	"Cao et al."	194	100194	"Chaiwopu Lake CKF"	87.783333	43.55	"Asia"	2411	-6.5	33	-17.5	14.8	15	992	1	0.48	4.51	0.65	3.73	1	0.39	3.97	0.57	3.35	1	0.61	119.79	0.78	91.26	12.9	26.5	-0.7	9.9	-76	307	1262	13	26.5	25	828	2	0.46	2.62	1	0.69	99.45	1276	-0.7	9.9	27	828	2	0.45	2.13	1	0.68	114.79	1086	-6.5	33	-17.5	14.8	15	306	2	0.47	4.83	1	0.48	4.23	2	0.55	58.88
"DAMAGOU"	"Cao et al."	196	100196	"Damagou"	80.7	37	"Asia"	1877	-6.5	33	-17.5	17.1	15	828	1	0.47	4.81	0.64	4	1	0.37	4.26	0.57	3.53	1	0.61	116.77	0.79	86.77	2.9	23	-2.5	5.9	-1	769	1647	2.9	23	27	828	1	0.43	3.85	1	0.58	117.21	921	-2.5	5.8	28	828	1	0.27	1.91	1	0.65	113.2	1862	-6.5	33	-17.5	17.1	15	768	1	0.47	4.83	1	0.37	4.26	1	0.61	115.02
"DAXIGOU"	"Cao et al."	197	100197	"Daxigou"	86.85	43.116667	"Asia"	2366	-6.5	33	-17.5	14.8	15	992	1	0.48	4.53	0.64	3.76	1	0.38	4	0.57	3.35	1	0.61	119.49	0.77	91.16	10.9	18.1	-1.1	3.3	78	337	845	11	18	27	992	1	0.18	1.93	2	0.63	122.87	802	-1.1	3.3	28	828	1	0.09	1.13	1	0.63	112.71	1017	-6.5	29.7	-17.5	13	79	337	2	0.51	4.37	2	0.54	3.63	1	0.3	60.07
"DONGDAO"	"Cao et al."	198	100198	"Dongdaohaizi B"	89.56	44.696667	"Asia"	2524	-6.5	33	-17.5	14.8	15	992	1	0.49	4.46	0.65	3.67	1	0.4	3.92	0.58	3.3	1	0.6	121.51	0.77	92.22	14.9	27.2	1.2	9.7	-86	232	1180	15	27.2	25	828	2	0.52	2.24	2	0.75	90.17	965	1.2	9.7	27	828	2	0.4	1.9	1	0.71	110.5	704	-2.2	33	-15.8	14.8	15	231	1	0.37	5.39	1	0.43	4.43	2	0.48	48.42
"EBINUR"	"Cao et al."	199	100199	"Ebinur Lake"	82.45	44.55	"Asia"	2229	-6.5	33	-17.5	14.8	15	992	1	0.51	4.39	0.65	3.72	1	0.39	3.85	0.58	3.21	1	0.6	109.22	0.77	83.49	11.5	19.5	-3.2	4.8	81	399	1054	11.5	19.4	27	992	2	0.41	1.84	2	0.66	99.92	1308	-3.2	4.8	28	992	1	0.24	1.74	2	0.65	95.93	1186	-6.5	30.7	-17.5	13.7	82	399	1	0.52	4.48	1	0.44	3.81	1	0.35	68.68
"EBINURSW"	"Cao et al."	200	100200	"Ebinur Lake SW"	82.8	45	"Asia"	2250	-6.5	33	-17.5	14.8	15	992	1	0.5	4.38	0.65	3.7	1	0.39	3.83	0.58	3.2	1	0.6	109.07	0.77	83.26	6.4	24.1	-5.6	5.3	154	479	1832	6.5	24	27	992	1	0.43	3.35	2	0.63	102.72	1662	-5.6	5.2	28	992	1	0.3	2.23	2	0.63	99.84	1395	-6.5	28.8	-17.5	13	154	479	1	0.57	3.92	1	0.43	3.32	2	0.5	63.34
"HUASHUWO"	"Cao et al."	201	100201	"Huashuwozi"	89.133333	43.8005	"Asia"	2501	-6.5	33	-17.5	14.8	15	992	1	0.48	4.48	0.65	3.7	1	0.4	3.93	0.57	3.32	1	0.61	121.97	0.77	92.62	11.3	26.3	-2.2	10.3	-96	373	1545	11.4	26.3	26	992	2	0.46	2.93	1	0.62	116.69	1641	-2.1	10.3	27	858	2	0.47	2.35	1	0.67	114.41	1424	-6.5	33	-17.5	14.8	15	373	2	0.49	4.92	1	0.45	4.3	1	0.45	74.75
"LOPNURK1"	"Cao et al."	202	100202	"Lop Nur K1"	90.25	40.283333	"Asia"	2468	-6.5	33	-17.5	20	15	992	1	0.48	4.52	0.64	3.73	1	0.43	4.03	0.59	3.42	1	0.67	123.84	0.81	93.39	11.6	27.3	-1.9	10.5	-103	512	1521	11.6	27.3	25	992	2	0.46	3.07	1	0.73	116.37	1564	-1.9	10.5	27	985	1	0.43	2.49	1	0.71	119.14	1861	-6.5	33	-17.5	14.8	15	510	1	0.5	4.75	1	0.45	4.08	1	0.53	91.53
"LOPNURLUO4"	"Cao et al."	203	100203	"Lop Nur Luo4"	90.25	40.333333	"Asia"	2469	-6.5	33	-17.5	20	15	992	1	0.48	4.52	0.64	3.73	1	0.43	4.03	0.59	3.42	1	0.66	123.84	0.81	93.44	17.2	22.7	1.5	6.4	-140	237	537	17.3	22.7	27	935	2	0.41	1.31	2	0.75	91.5	589	1.5	6.4	27	929	1	0.16	1.26	1	0.72	113.69	730	-2.2	33	-15.8	14.8	15	237	1	0.37	5.32	1	0.44	4.38	2	0.5	49.02
"MANASLM1"	"Cao et al."	204	100204	"Manas Lake LM-1"	85.916667	45.833333	"Asia"	2360	-6.5	33	-17.5	14.8	15	992	1	0.49	4.43	0.64	3.71	1	0.38	3.93	0.57	3.26	1	0.57	117.43	0.75	89.94	14.4	24.4	0.5	7.8	25	258	1027	14.4	24.4	27	828	2	0.33	1.97	2	0.75	83.14	862	0.5	7.8	27	828	1	0.32	1.73	2	0.68	102.63	800	-6.5	31.6	-17.5	14.3	25	258	1	0.37	5.4	1	0.45	4.44	2	0.51	53.1
"NIYA"	"Cao et al."	205	100205	"Niya River"	82.766667	37.733333	"Asia"	2095	-6.5	33	-17.5	14.8	15	992	1	0.46	4.67	0.63	3.86	1	0.36	4.13	0.55	3.46	1	0.62	123.06	0.79	92.28	13.4	20.7	-0.8	5.6	15	222	647	13.4	20.7	27	828	1	0.16	1.81	1	0.68	105.38	820	-0.8	5.6	28	828	1	0.19	1.54	1	0.66	121.34	589	-2.2	32.8	-15.8	14.4	16	221	1	0.37	5.67	1	0.42	4.73	1	0.42	48.2
"SICHANG"	"Cao et al."	206	100206	"Sichanghu Lake"	89.143333	44.31	"Asia"	2498	-6.5	33	-17.5	14.8	15	992	1	0.49	4.48	0.65	3.7	1	0.39	3.94	0.57	3.31	1	0.6	121.77	0.77	92.41	14.6	25	1.7	8.6	-20	191	1057	14.7	25	27	828	2	0.4	2.04	2	0.72	91.02	793	1.7	8.6	27	828	2	0.39	1.68	1	0.73	109.17	525	-2.2	33	-15.8	14.8	15	190	1	0.35	5.7	1	0.37	4.69	1	0.45	39.86
"TAGLE"	"Cao et al."	207	100207	"Tagle"	80.766667	37.033333	"Asia"	1890	-6.5	33	-17.5	17.1	15	828	1	0.47	4.8	0.64	4	1	0.37	4.26	0.57	3.54	1	0.61	117.66	0.78	88.26	11.9	25.2	0	9.5	-41	260	864	12	25.1	27	828	2	0.3	2.99	1	0.66	109.26	744	0	9.4	27	828	1	0.34	2.11	1	0.7	111.03	739	-6.5	33	-17.5	17.1	15	260	2	0.46	5.19	1	0.45	4.62	1	0.45	56.58
"TIANSHUISI2"	"Cao et al."	208	100208	"Tianshuihai SI2"	79.516667	35.35	"Asia"	1499	-6.5	33	-17.5	17.1	15	828	1	0.48	5.09	0.65	4.19	1	0.4	4.42	0.59	3.69	1	0.61	113.77	0.81	80.31	12.6	18.7	-0.6	5.1	141	316	314	12.7	18.7	27	828	1	0.17	1.65	1	0.65	119.75	418	-0.6	5	28	828	1	0.27	1.36	1	0.7	110.98	485	-6.5	29.7	-17.5	17.1	143	313	2	0.63	4.09	2	0.58	3.58	1	0.24	43.3
"TIANSHUITS95"	"Cao et al."	209	100209	"Tianshuihai TS95"	79.516667	35.35	"Asia"	1499	-6.5	33	-17.5	17.1	15	828	1	0.48	5.09	0.65	4.19	1	0.4	4.42	0.59	3.69	1	0.61	113.77	0.81	80.31	12.6	29	-3.5	12.5	-260	728	654	12.7	28.8	25	828	2	0.43	3.58	1	0.66	106.68	998	-3.5	12.4	25	828	2	0.5	2.96	1	0.68	113.34	1474	-6.5	33	-17.5	17.1	15	727	2	0.53	4.87	1	0.4	4.45	1	0.61	108
"WULUNGU2004"	"Cao et al."	210	100210	"Wulungu Lake WLG-2004"	87.3	47.216667	"Asia"	2362	-2.2	33	-15.8	14.8	15	992	1	0.49	4.42	0.65	3.68	1	0.39	3.92	0.59	3.22	1	0.56	117.2	0.75	88.92	13.5	22.7	1.3	5.5	109	288	1074	13.6	22.6	27	828	2	0.28	1.89	1	0.67	92.58	484	1.3	5.5	28	828	1	0.18	1.11	1	0.63	113.72	670	0.8	29.7	-11.2	13	110	286	2	0.55	4.08	1	0.54	3.5	1	0.23	43.21
"XIAOSHA"	"Cao et al."	213	100213	"Xiaoshazi Lake"	90.833333	36.783333	"Asia"	2458	-6.5	33	-17.5	20.1	15	1743	1	0.5	4.56	0.65	3.78	2	0.56	4.03	0.67	3.5	2	0.77	125.06	0.85	103.26	13.8	23.9	-0.9	11.7	-102	227	1009	13.8	23.9	27	1743	1	0.3	2.38	1	0.83	110.31	1305	-0.9	11.7	27	1328	1	0.39	2.57	1	0.75	121.97	660	-2.2	33	-15.8	14.8	15	227	1	0.37	5.42	1	0.44	4.46	2	0.48	47.38
"XIAOXI"	"Cao et al."	214	100214	"Xiaoxigou"	89.121667	43.800167	"Asia"	2501	-6.5	33	-17.5	14.8	15	992	1	0.48	4.48	0.65	3.7	1	0.4	3.93	0.57	3.32	1	0.61	121.97	0.77	92.62	12	25	-1.5	8.9	-59	351	1384	12	25	27	992	2	0.36	2.72	1	0.62	111.58	1466	-1.4	8.9	27	858	2	0.48	2.11	1	0.68	114.66	1376	-6.5	33	-17.5	14.8	15	351	2	0.48	4.95	1	0.45	4.31	1	0.44	73.21
"YUETE2"	"Cao et al."	215	100215	"Yuetegan 2"	79.916667	37.15	"Asia"	1797	-6.5	33	-17.5	17.1	15	828	1	0.49	4.82	0.64	4.02	1	0.39	4.24	0.58	3.52	1	0.61	114.26	0.8	83.35	12.2	19.2	-1	4.6	81	264	548	12.3	19.1	27	828	1	0.17	1.82	1	0.66	109.69	584	-0.9	4.5	28	828	1	0.24	1.33	1	0.7	103.99	493	-6.5	31.7	-17.5	17.1	82	263	1	0.46	4.98	1	0.5	4.1	1	0.25	45.71
"BANGONG"	"Cao et al."	217	100217	"Bangong Co Lake"	79	30.233333	"Asia"	924	-6.5	33	-17.5	17.1	15	707	1	0.46	5.67	0.64	4.64	1	0.38	4.88	0.55	4.15	1	0.7	98.36	0.82	75.81	7.7	18.1	-3.5	4.9	99	377	417	7.8	18	27	707	1	0.32	2.33	2	0.73	97.59	389	-3.5	4.9	28	707	1	0.21	1.95	2	0.8	83.86	417	-6.5	29.7	-17.5	17.1	100	376	1	0.54	5.57	1	0.46	4.53	1	0.41	59.14
"HIDDENHL1"	"Cao et al."	218	100218	"Hidden Lake HL1"	92.5395	29.812833	"Asia"	1748	-6.5	33	-17.5	23.2	15	1904	2	0.59	4.79	0.71	4.08	2	0.66	4.36	0.75	3.77	2	0.85	156.58	0.9	133.44	5.7	11.4	-4.4	2	399	611	588	5.8	11.4	30	858	1	0.1	1.52	2	0.66	113.08	609	-4.4	2	28	858	1	0.11	1.76	2	0.7	115.43	410	2.8	23.7	-9.5	9.6	399	610	2	0.57	2.76	2	0.59	2.83	1	0.34	53.89
"NGION"	"Cao et al."	219	100219	"Ngion Co"	91.5	30.466667	"Asia"	1756	-6.5	33	-17.5	22	15	1904	2	0.56	4.83	0.68	4.18	2	0.62	4.34	0.71	3.83	2	0.85	149.44	0.88	131.32	4.9	10.3	-6.2	-0.8	385	496	528	4.9	10.3	30	858	1	0.11	1.49	2	0.66	103.27	413	-6.2	-0.8	30	782	1	0.07	1.46	1	0.64	102.54	266	2.8	26.2	-9.1	9.6	385	494	1	0.5	3.03	1	0.56	2.73	1	0.22	25.87
"PEIKU"	"Cao et al."	220	100220	"Peiku Co"	85.333333	28.833333	"Asia"	1384	-6.5	33	-17.5	20.1	15	1743	1	0.47	4.87	0.64	4	1	0.45	4.55	0.62	3.81	1	0.76	126.64	0.86	98.17	6.3	11.8	-1.3	3.4	467	677	563	6.4	11.7	30	808	1	0.09	1.44	2	0.66	112.6	412	-1.3	3.3	28	808	1	0.07	1.23	2	0.73	116.36	268	2.5	24.6	-9.5	9	467	677	1	0.32	2.84	2	0.41	3.18	1	0.2	54.51
"QONGJI"	"Cao et al."	221	100221	"Co Qongjiamong"	92.372833	29.812833	"Asia"	1747	-6.5	33	-17.5	23.2	15	1904	2	0.59	4.79	0.71	4.07	2	0.66	4.37	0.75	3.76	2	0.85	156.61	0.9	133.38	5.3	10.8	-5.1	1.2	385	606	548	5.3	10.7	30	858	1	0.14	1.46	2	0.68	103.6	547	-5.1	1.1	30	858	1	0.12	1.68	2	0.7	107.6	427	2.8	23.7	-9.5	9.6	386	605	1	0.53	2.94	2	0.59	2.83	1	0.31	54.95
"RENR1"	"Cao et al."	222	100222	"Ren Co R1"	96.682833	30.732833	"Asia"	2151	-6.5	33	-17.5	25.7	15	2212	2	0.65	4.63	0.76	3.85	2	0.75	4.26	0.82	3.65	2	0.88	182.47	0.92	150.54	-10.5	31.8	-17.4	11.4	-323	756	2149	-6.5	31.6	25	2212	2	0.65	4.61	2	0.88	182.52	1661	-15.8	11.3	27	1328	1	0.44	3.89	1	0.72	118.35	1661	-6.5	33	-17.5	14.8	15	755	1	0.53	4.77	1	0.44	4.16	1	0.67	114.32
"SELINCK8803"	"Cao et al."	223	100223	"Selin Co CK8803"	88.516667	31.566667	"Asia"	1688	-6.5	33	-17.5	20.1	15	1743	1	0.49	4.86	0.63	4.14	1	0.47	4.49	0.63	3.8	1	0.76	129.4	0.85	102.81	7.1	21.3	-4.5	17.1	-79	1208	1073	7.2	21.2	27	1743	1	0.37	2.96	1	0.73	134.35	1396	-4.4	16.4	15	1743	1	0.52	3.49	1	0.78	128.23	1673	-6.5	33	-17.5	20	15	1201	1	0.49	4.87	1	0.45	4.47	1	0.75	125.17
"WASONG"	"Cao et al."	224	100224	"Wasong section"	103.0524	32.9913	"Asia"	2484	-6.5	33	-17.5	25.7	15	2767	2	0.7	4.12	0.8	3.38	2	0.8	3.82	0.86	3.28	2	0.87	196.81	0.92	159.59	-0.3	7.8	-9.4	-0.3	386	796	320	2.5	7.7	83	782	1	0.19	1.3	1	0.54	92.49	671	-9.2	-0.4	65	782	1	0.18	2.21	1	0.57	91.05	827	2.5	27.6	-9.5	20	386	795	1	0.65	3.61	1	0.56	3.48	1	0.41	87.99
"WUMAQU"	"Cao et al."	225	100225	"Wumaqu"	91.383333	30.533333	"Asia"	1762	-6.5	33	-17.5	22	15	1904	2	0.56	4.83	0.68	4.17	2	0.62	4.34	0.71	3.83	2	0.85	149.43	0.88	131.16	0.5	10.5	-9.7	-1.4	249	766	657	0.8	10.4	30	858	1	0.1	2.11	2	0.66	100.58	520	-9.7	-1.4	30	782	1	0.1	2.17	2	0.64	97.04	953	-6.5	26.2	-17.5	12.8	249	764	2	0.53	3.27	2	0.52	3.33	1	0.53	98.39
"XUGUO"	"Cao et al."	226	100226	"Xuguo Co"	90.333333	31.95	"Asia"	1829	-6.5	33	-17.5	21.3	15	1743	1	0.52	4.81	0.66	4.04	2	0.57	4.26	0.68	3.7	2	0.82	126.34	0.87	105.03	8	10.8	-3.7	-1.5	291	482	336	8.1	10.7	30	858	1	0.1	0.71	1	0.64	113.31	233	-3.7	-1.5	30	782	1	0.04	0.7	1	0.66	107.44	516	-2	26.2	-15.4	10.2	291	481	2	0.63	3.08	2	0.61	2.92	1	0.24	44.86
"YANGHU"	"Cao et al."	227	100227	"Yanghu Lake"	84.65	35.433333	"Asia"	2059	-6.5	33	-17.5	20	15	950	1	0.45	4.73	0.62	3.95	1	0.42	4.25	0.59	3.6	1	0.67	124.82	0.82	92.1	15.9	21.8	3.2	8.2	-40	512	376	15.9	21.8	27	931	1	0.1	1.6	1	0.76	108.16	364	3.2	8.2	27	929	2	0.24	1.31	1	0.76	109.74	1546	-6.5	33	-17.5	14.8	15	512	1	0.47	5.02	1	0.44	4.33	1	0.54	91.38
"ZABUZK2"	"Cao et al."	228	100228	"Zabuye Lake ZK2"	84.04	31.21	"Asia"	1479	-6.5	33	-17.5	20.1	15	1630	1	0.47	4.99	0.63	4.19	1	0.45	4.54	0.6	3.87	2	0.78	118.48	0.86	95.26	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ZIGETANG"	"Cao et al."	229	100229	"Zigetang Co"	90.9	32	"Asia"	1885	-6.5	33	-17.5	22	15	1743	2	0.55	4.67	0.67	3.98	2	0.6	4.23	0.7	3.65	2	0.84	132.66	0.9	108.99	7.5	12.6	-4.8	0	262	431	581	7.6	12.5	30	858	1	0.06	1.31	1	0.63	126.73	522	-4.8	0	30	858	1	0.06	1.36	1	0.61	112.69	515	-2	26.2	-15.4	10.2	263	431	2	0.61	3.24	2	0.58	3.01	1	0.27	43.75
"ERHAIES"	"Cao et al."	230	100230	"Erhai Lake ES"	100.2	25.766667	"Asia"	1633	-6.5	29.5	-17.5	25.7	28	2250	2	0.76	3.9	0.82	3.36	2	0.82	3.81	0.86	3.34	2	0.87	196.17	0.9	172.47	9.1	25.2	2.7	16.7	518	1341	947	9.2	25.2	35	2250	2	0.64	3.07	2	0.89	158.11	633	2.8	16.7	28	2250	2	0.69	2.28	2	0.89	149.33	550	2.5	29.2	-9.2	25.1	519	1328	2	0.75	3.39	2	0.75	3.53	2	0.8	94.21
"GANLAN"	"Cao et al."	231	100231	"Ganlanba"	100.6	22.483333	"Asia"	1503	-6.5	29.5	-17.5	25.7	35	2250	2	0.78	3.72	0.83	3.28	2	0.83	3.79	0.87	3.39	2	0.87	198.25	0.9	173.64	17.8	33.5	9.4	26	994	2056	605	17.8	29.5	35	2250	2	0.58	2.17	2	0.85	229.1	479	9.6	25.7	473	2212	2	0.61	2.3	2	0.63	221.94	414	16.1	29.5	8.8	25.7	1010	2055	2	0.47	1.91	2	0.62	2.05	1	0.49	180.5
"MANXING"	"Cao et al."	232	100232	"Manxing Lake"	100.483333	21.95	"Asia"	1472	-6.5	29.5	-17.5	25.7	40	2250	2	0.78	3.67	0.83	3.27	2	0.83	3.79	0.87	3.39	2	0.87	199.6	0.9	174.06	9.1	21	-1	12.8	620	1084	647	9.2	20.8	40	2250	1	0.44	2.41	1	0.75	133.33	656	-0.9	12.8	40	2250	1	0.45	2.49	1	0.75	135.72	285	2.5	27.8	-6.9	20	621	1082	1	0.53	3.3	1	0.61	3.73	2	0.66	61.82
"HEMUDUHMD1"	"Cao et al."	234	100234	"Hemudu HMD-1"	121.35	29.966667	"Asia"	1993	5.2	29.5	-6.4	25.7	98	4360	2	0.64	3.2	0.76	2.57	2	0.8	3.2	0.87	2.65	2	0.81	303.93	0.88	238	15.9	27.4	5.6	15.9	770	1768	1417	16	27.3	98	3486	2	0.45	2.14	2	0.84	294.59	751	5.6	15.9	98	4360	2	0.6	2.1	2	0.79	327.96	610	5.2	29.5	-3.3	25.7	770	1764	2	0.68	2.84	2	0.81	2.97	2	0.69	181.18
"KUAHUQ2"	"Cao et al."	235	100235	"Kuahuqiao 2"	120.2	30.25	"Asia"	2079	2.9	29.5	-9.5	25.7	98	4360	2	0.67	3.33	0.79	2.66	2	0.8	3.31	0.87	2.73	2	0.82	296.86	0.89	232.47	19.6	24.2	9.2	14.1	899	1648	697	19.6	24.1	107	3294	1	0.25	1.17	2	0.89	245.48	218	9.2	14	198	3486	1	0.12	1.23	2	0.81	319.18	371	13.4	29.5	4.6	25.7	906	1648	2	0.68	2.37	2	0.78	2.34	2	0.55	156.5
"LUOJI"	"Cao et al."	236	100236	"Luojiang"	121.362533	29.984367	"Asia"	1993	5.2	29.5	-6.4	25.7	98	4360	2	0.64	3.2	0.77	2.57	2	0.8	3.2	0.87	2.65	2	0.81	303.93	0.88	237.99	22.1	27.6	8.4	17.4	580	2310	562	22.2	27.5	98	3136	2	0.41	1.18	2	0.85	294.84	551	8.4	17.4	98	4360	2	0.6	1.68	2	0.74	356.43	1285	5.2	29.5	-4.8	25.7	580	2304	2	0.69	3.23	2	0.82	3.17	2	0.72	273.99
"TIANCHILA"	"Cao et al."	237	100237	"Tianchi Lake"	106.31	37.26	"Asia"	2899	-2	33	-15.4	24.4	15	2852	2	0.68	4.02	0.78	3.29	2	0.77	3.89	0.85	3.24	2	0.85	218.73	0.93	156.44	10.5	20.9	-1.4	5.6	311	862	1315	10.6	20.9	40	2710	1	0.37	2.4	2	0.84	167.51	1003	-1.4	5.6	41	1437	1	0.27	1.68	2	0.7	110.01	1438	-2	27.6	-15.4	20	311	858	1	0.62	3.72	2	0.56	3.55	1	0.55	95.01
"AKKOL"	"Cao et al."	238	100238	"Akkol Lake"	89.625	50.25	"Asia"	2219	-2.2	33	-15.8	14.8	15	992	1	0.49	4.37	0.63	3.7	2	0.48	3.75	0.62	3.23	2	0.66	99.27	0.77	80.45	10.3	16.8	-4.7	-0.1	307	439	664	10.4	16.8	27	992	1	0.11	1.74	2	0.64	107.03	700	-4.7	-0.2	30	992	1	0.08	1.27	2	0.61	104.3	525	-2	28.3	-15.4	13	308	438	2	0.7	3.18	2	0.54	2.89	1	0.26	32.83
"BAIKAL606-3"	"Cao et al."	239	100239	"Baikal CON01-606-3"	105.865333	52.083333	"Asia"	2360	-2	33	-15.4	14.8	15	992	1	0.47	3.87	0.66	3.07	2	0.62	3.45	0.72	2.98	2	0.55	107.91	0.65	94.54	12.1	17.2	-7.9	-1.4	262	451	696	12.1	17.2	46	992	1	0.1	1.5	2	0.53	109.12	701	-7.8	-1.4	65	992	1	0.13	1.7	2	0.5	105.41	997	-2	27.6	-15.4	13.3	262	450	2	0.68	3.08	2	0.68	3	1	0.14	48.96
"GRUSHA"	"Cao et al."	240	100240	"Grusha Lake"	89.416667	50.383333	"Asia"	2202	-2.2	33	-15.8	14.8	15	992	1	0.49	4.38	0.63	3.7	2	0.48	3.76	0.62	3.22	2	0.66	99.13	0.78	79.82	8.7	18	-5.4	0.7	188	470	1012	8.7	18	27	992	1	0.23	2.34	2	0.66	106.08	884	-5.3	0.7	32	992	1	0.14	1.58	2	0.6	102.71	1218	-2	28.7	-15.4	13	188	470	2	0.61	3.64	1	0.5	3.3	2	0.49	56.2
"KENDEGEL"	"Cao et al."	241	100241	"Kendegelukol Lake"	87.641667	50.5055	"Asia"	2203	-2.2	33	-15.8	14.8	15	992	1	0.46	4.32	0.61	3.66	2	0.47	3.7	0.61	3.2	2	0.69	97.77	0.8	77.83	8.7	16.9	-6.4	-0.1	276	545	837	8.8	16.9	27	992	1	0.18	2.04	2	0.68	106.62	858	-6.4	-0.1	30	992	1	0.08	1.66	2	0.63	103.18	1102	-2	28.5	-15.4	13	276	545	2	0.72	2.8	2	0.52	2.73	2	0.5	57.02
